index,price,yearCreation,is_numbered,condition_score,movement_clean
297,22000,2019,1,3,Pop Art
298,5100,2013,1,3,Pop Art
299,5100,2011,1,3,Pop Art
300,32000,2015,1,3,Pop Art
301,15000,2005,1,3,Pop Art
302,15000,2005,1,3,Pop Art
303,15000,2008,1,3,Pop Art
304,22000,2019,1,3,Pop Art
305,15000,2007,1,3,Pop Art
306,2700,2007,1,3,Pop Art
307,16000,2019,1,3,Pop Art
308,13000,2011,0,3,Pop Art
309,15000,2007,1,3,Pop Art
310,1295,1980,0,3,Realism
311,5995,1977,0,3,Realism
312,3495,2008,0,3,Conceptual 
313,3495,2005,0,3,Realism
314,9995,2003,0,3,Realism
315,3995,2006,0,3,Realism
316,3995,2006,0,3,Realism
317,6995,1999,1,3,Realism
318,2995,1971,0,3,Realism
319,8995,2008,0,3,Realism
320,3495,1978,0,3,Realism
321,3995,1971,0,3,Realism
322,13500,1965,0,1,Abstract
323,4000,2014,1,3,Conceptual 
324,17000,2020,0,3,Expressionism
325,17000,2012,0,3,Expressionism
326,14000,2012,0,3,Abstract
327,1250,2021,1,3,Pop Art
328,1250,2021,1,3,Pop Art
329,9500,1925,0,1,Other
330,2000,1992,0,1,Expressionism
331,3000,1999,0,1,Geometric Abstraction
332,1500,2005,0,1,Realism
333,1200,2006,0,2,Abstract Expressionism
334,3000,2003,0,1,Geometric Abstraction
335,3000,1984,0,2,Pop Art
336,1000,1997,0,1,Conceptual 
337,1000,2000,0,1,Realism
338,1500,2010,0,1,Abstract
339,2550,1997,0,1,Geometric Abstraction
340,4000,2013,0,1,Conceptual 
341,1500,2014,0,1,Abstract
342,10000,2012,0,1,Conceptual 
343,2250,1955,0,2,Other
344,4000,1961,0,3,Realism
345,800,1970,0,1,Realism
346,800,1971,0,1,Realism
347,30000,2008,0,2,Conceptual 
348,18000,2013,0,2,Abstract
349,15000,2011,0,3,Abstract
350,12000,2012,0,1,Abstract
351,23000,2010,1,3,Conceptual 
352,128000,2002,0,3,Pop Art
353,160000,2015,1,3,Pop Art
354,6500,2011,0,3,Pop Art
355,5500,2008,0,3,Pop Art
356,5000,1961,0,3,Realism
357,4500,1964,0,2,Realism
358,4000,1989,0,2,Realism
359,4000,1964,0,1,Realism
360,4000,1964,0,3,Realism
361,22500,2007,1,2,Realism
362,37000,1957,0,2,Impressionism
363,9350,2012,0,3,Conceptual 
364,14680,2009,0,3,Conceptual 
365,20000,2004,0,3,Conceptual 
366,20000,2004,0,3,Conceptual 
367,5000,2013,0,3,Conceptual 
368,25000,1970,1,3,Conceptual 
369,5000,2014,0,3,Conceptual 
370,5000,2014,0,3,Conceptual 
371,5000,2014,0,3,Conceptual 
372,2000,2010,0,1,Expressionism
373,2000,1998,0,1,Expressionism
374,3000,1998,0,1,Impressionism
375,6000,2009,0,1,Conceptual 
376,15500,1950,0,1,Other
377,4000,2007,0,1,Other
378,2000,2006,0,1,Conceptual 
379,4000,2007,0,1,Other
380,2000,2006,0,1,Conceptual 
381,9500,2021,0,3,Other
382,9500,2021,0,3,Other
383,9500,2021,0,3,Other
384,650,1998,1,3,Pop Art
385,2500,2021,1,3,Abstract
386,2500,2021,1,3,Abstract
387,8000,2005,1,2,Other
388,8000,2005,1,2,Other
389,25000,1962,0,1,Other
390,3895,1969,0,2,Pop Art
391,15000,2013,0,3,Abstract
392,12000,2012,0,3,Abstract
393,12000,2012,0,3,Abstract
394,7000,1984,0,3,Realism
395,7000,1986,0,3,Realism
396,70000,1955,0,2,Abstract Expressionism
397,995,1983,0,2,Surrealism
398,995,1993,0,2,Abstract
399,1895,1980,0,1,Abstract
400,595,1986,0,2,Abstract
401,1595,1980,0,1,Realism
402,995,1985,0,2,Expressionism
403,2500,1976,0,2,Other
404,8000,1939,0,3,Realism
405,1500,1900,0,2,Realism
406,8000,1998,0,1,Realism
407,27000,2016,1,3,Pop Art
408,9000,1975,0,3,Realism
409,3000,1975,0,3,Realism
410,3000,1971,0,3,Realism
411,3000,1970,0,3,Realism
412,3000,1970,0,3,Realism
413,2500,1975,0,3,Realism
414,2500,1967,0,3,Realism
415,75000,2018,0,3,Pop Art
416,3800,1974,0,2,Expressionism
417,1200,1989,0,2,Abstract
418,71500,2003,0,1,Minimalism
419,6000,1920,0,1,Impressionism
420,7000,1934,0,1,Impressionism
421,15000,2013,0,3,Abstract
422,7500,2005,0,3,Abstract
423,2250,1894,1,2,Other
424,6000,1959,0,1,Abstract Expressionism
425,7000,1952,0,3,Realism
426,3000,1894,0,2,Other
427,6000,1941,0,2,Realism
428,4000,1962,0,3,Realism
429,7000,1936,0,2,Realism
430,4000,1947,0,3,Abstract
431,4000,1971,0,3,Realism
432,3000,1962,0,3,Realism
433,5000,1953,0,3,Realism
434,7000,1967,0,3,Realism
