,title,artist,price,size,painting type,url,path,material,style,area,original
1649,"In The Light Of Day, Paintings",Michelle Louis,7673,66 x 57 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/11704307/10766547-KQOXNAQL-7.jpg,saatchi_art_images/1650.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,3762.0,1
1650,"Quarter To Two, Paintings",Justin Brennan,2160,30 x 30 in,Original Expressionism Portrait Paintings,https://www.saatchiart.com/saatchi-images/saatchi/402775/art/10705957/9768443-JEEWWNYQ-7.jpg,saatchi_art_images/1651.jpg.jpg,Oil on Canvas,Expressionism Portrait,900.0,1
1651,"Essence, Paintings",Michelle Louis,8366,80 x 50 in,Original Abstract Expressionism Abstract Paintings,https://www.saatchiart.com/saatchi-images/saatchi/889067/art/9982001/9044919-XMDCYPEP-7.jpg,saatchi_art_images/1652.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,4000.0,1
1652,"Queen Ann’S Lace At The Lake 2, Paintings",Anna Bergin,670,8 x 8 in,Original Abstract Expressionism Floral Paintings,https://www.saatchiart.com/saatchi-images/saatchi/339378/art/12295887/11358083-IXOYNIYZ-7.jpg,saatchi_art_images/1653.jpg.jpg,Oil on Canvas,Abstract Expressionism Floral,64.0,1
1653,"I Feel Pink, Paintings",Daniela Schweinsberg,5432,55.1 x 63 in,Print of Contemporary Abstract Paintings,https://www.saatchiart.com/saatchi-images/saatchi/736657/art/11031301/10093593-DAIQJXFE-7.jpg,saatchi_art_images/1654.jpg.jpg,Acrylic on Canvas,Contemporary Abstract,3471.3,0
1654,"Landforms Ii, Paintings",Michelle Louis,1284,16 x 20 in,Original Abstract Expressionism Abstract Paintings,https://www.saatchiart.com/saatchi-images/saatchi/889067/art/10091335/9154107-TKDYHMOJ-7.jpg,saatchi_art_images/1655.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,320.0,1
1655,"Yes, Please, Paintings",Michelle Louis,3838,67 x 37 in,Original Abstract Expressionism Abstract Paintings,https://www.saatchiart.com/saatchi-images/saatchi/889067/art/8521779/7585818-HSC00923-7.jpg,saatchi_art_images/1656.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,2479.0,1
1656,"Over The River, Paintings",Michelle Louis,3368,61 x 43 in,Original Abstract Landscape Paintings,https://images.saatchiart.com/saatchi/889067/art/5378149/4447963-HSC00001-7.jpg,saatchi_art_images/1657.jpg.jpg,Acrylic on Canvas,Abstract Landscape,2623.0,1
1657,"I Can'T Even Feel The Pain No More, Paintings",Justin Brennan,775,11 x 15 in,Original Abstract Pop Culture/Celebrity Paintings,https://images.saatchiart.com/saatchi/402775/art/4258017/3327865-HSC00002-7.jpg,saatchi_art_images/1658.jpg.jpg,Acrylic on Wood,Abstract Pop Culture/Celebrity,165.0,1
1658,"Reflex Reaction, Paintings",Michelle Louis,2580,27 x 31 in,Original Art Deco Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/12795901/11858079-TDBBNZCU-7.jpg,saatchi_art_images/1659.jpg.jpg,Acrylic on Canvas,Art Deco Abstract,837.0,1
